1000					
4	5	7	8	16	21
8	11	18	27	34	41
6	8	14	19	26	31
7	13	15	20	21	25
2	11	14	22	27	35
1	4	5	13	19	23
3	10	11	17	24	29
2	10	16	25	29	32
8	14	19	22	27	33
7	8	14	19	20	24
3	4	9	12	21	25
1	10	15	16	22	31
5	10	13	17	22	28
6	14	21	24	30	36
1	2	5	9	11	14
7	12	14	23	31	35
6	13	14	19	20	27
4	9	15	21	26	29
2	10	17	20	29	36
2	11	19	22	24	29
6	7	14	21	30	31
8	11	12	20	21	30
1	7	13	19	22	29
8	14	15	22	30	38
1	4	10	16	20	22
4	9	10	15	20	24
3	10	14	16	25	27
5	10	19	26	29	37
7	9	11	16	18	27
6	11	18	21	26	29
6	11	17	23	32	35
3	5	10	11	19	21
1	6	7	16	18	27
2	6	11	17	19	23
8	17	23	30	38	42
8	10	12	15	23	29
4	7	13	22	30	33
1	9	13	22	23	32
4	12	20	28	33	38
4	13	14	21	24	25
2	7	15	21	29	36
8	13	21	30	39	47
1	7	12	13	21	25
1	5	12	15	18	26
5	6	12	15	17	19
6	9	12	18	23	29
6	10	13	22	30	34
8	15	23	24	33	42
4	12	15	16	25	32
1	8	10	17	20	23
4	5	8	17	23	24
7	16	19	24	28	37
5	13	19	27	29	31
8	10	11	20	22	23
7	14	21	28	35	37
3	9	17	23	29	38
4	8	14	22	25	33
8	11	14	19	25	28
8	10	17	19	25	32
6	13	22	28	32	33
4	12	19	28	37	38
8	13	18	20	28	34
8	12	13	21	27	32
1	9	11	19	27	33
8	17	25	34	40	44
2	4	5	12	17	25
5	10	11	15	24	28
8	16	22	25	26	35
1	5	12	15	19	28
5	9	16	23	32	37
1	7	16	18	19	20
5	6	12	18	27	29
6	15	16	19	21	23
1	2	8	15	21	24
5	7	10	11	16	20
8	13	19	21	24	33
4	6	14	23	28	31
1	9	12	17	22	29
3	6	14	19	20	23
5	12	17	21	26	27
6	8	9	15	16	19
1	10	16	17	22	25
4	11	15	24	30	31
4	6	12	13	19	27
3	7	16	24	30	38
1	4	7	10	16	21
2	5	8	11	20	27
7	8	13	20	26	33
8	16	18	25	27	34
4	11	20	21	22	26
1	2	6	13	17	24
5	12	15	20	27	34
6	11	17	24	32	36
3	5	7	13	16	18
7	9	14	22	30	34
3	10	17	21	30	37
1	6	9	13	17	25
7	13	20	29	34	37
5	13	20	24	27	34
3	6	12	16	25	29
1	10	14	19	27	30
5	10	12	20	27	30
6	8	17	19	22	31
8	10	12	17	18	22
6	15	24	32	40	46
5	14	20	25	27	32
3	10	16	20	27	32
2	5	6	15	19	25
2	11	20	22	26	33
3	8	15	18	27	30
3	6	10	19	27	32
2	8	14	17	18	27
4	9	18	22	26	34
3	8	11	18	19	21
3	6	13	16	20	27
4	13	17	25	34	40
4	10	17	19	21	26
1	7	12	19	24	30
5	12	18	26	35	36
7	13	18	21	23	31
3	4	8	11	12	19
3	5	11	16	22	24
5	10	14	19	22	24
8	15	16	22	25	30
6	7	8	14	19	26
1	6	14	19	25	33
2	9	13	16	19	20
6	8	13	16	23	24
1	7	14	15	17	23
7	15	23	28	37	41
3	11	20	28	35	36
4	7	16	25	33	37
8	15	17	20	29	35
8	12	16	23	25	34
3	4	11	12	21	30
2	8	16	24	31	32
4	5	13	20	28	33
1	2	5	14	23	32
2	3	6	11	15	21
3	8	17	21	30	33
5	13	21	24	28	32
4	11	16	21	22	28
4	9	18	27	32	38
3	8	12	14	18	23
7	14	17	22	25	27
2	4	6	14	22	23
8	10	11	16	20	27
5	8	17	18	27	29
3	9	16	24	26	30
5	10	17	26	29	33
5	9	12	16	17	24
7	11	17	21	28	34
6	9	14	22	30	37
1	4	10	15	23	27
2	6	8	12	19	24
1	2	11	17	26	27
4	10	16	20	29	31
5	9	11	14	18	22
2	6	13	20	25	32
2	5	13	21	23	27
2	8	14	23	27	36
